日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/08/18,19240437,1293442571,68.5,68.5,66.8,67.0,-1.40,9356
109/08/19,26083012,1705121580,66.9,67.2,64.7,64.8,-2.20,14780
109/08/20,33794495,2072422613,64.2,64.2,59.5,61.1,-3.70,19239
109/08/21,14733651,908146098,61.5,62.4,61.0,61.9,+0.80,9069
109/08/24,7737469,474994648,62.0,62.1,61.0,61.3,-0.60,4617
109/08/25,9087461,566130894,61.8,63.0,61.6,62.1,+0.80,4555
109/08/26,7669319,474764375,62.1,62.5,61.6,61.9,-0.20,3842
109/08/27,8078935,499263941,62.3,62.5,61.3,61.6,-0.30,4196
109/08/28,9296237,568365857,61.1,61.5,61.0,61.1,-0.50,4853
109/08/31,14892755,917228212,61.7,62.5,61.0,61.2,+0.10,5975
109/09/01,10921914,667322191,61.0,61.5,60.4,61.3,0.1,4409
109/09/02,22333216,1348346140,61.6,61.7,59.6,60.2,-1.1,10760
109/09/03,13339890,804971530,60.6,60.8,60.0,60.3,0.1,7678
109/09/04,15113626,897950753,59.1,59.8,59.0,59.5,-0.8,8275
109/09/07,12077184,733808642,59.6,61.3,59.6,61.0,1.5,5820
109/09/08,8308283,508896788,61.4,61.8,60.7,61.4,0.4,4605
109/09/09,7879453,483313445,60.8,62.0,60.5,62.0,0.6,4264
109/09/10,9704557,598578936,62.4,62.6,61.1,61.2,-0.8,5485
109/09/11,4608942,282601811,61.4,61.7,61.0,61.3,0.1,2169
109/09/14,6663014,410665936,61.3,62.0,61.3,61.6,0.3,2788
109/09/15,8085546,501498474,61.8,62.4,61.7,62.0,0.4,3840
109/09/16,11401535,712906821,62.7,63.0,62.3,62.4,0.4,5618
109/09/17,5853376,365504785,62.4,62.8,62.1,62.3,-0.1,3138
109/09/18,9205981,574924396,62.4,62.8,62.0,62.4,0.1,3269
109/09/21,5110478,318027924,62.2,62.7,61.7,61.7,-0.7,2625
109/09/22,9328188,566143975,61.2,61.3,60.4,60.4,-1.3,4856
109/09/23,8895755,533521583,60.5,60.7,59.7,59.9,-0.5,5100
109/09/24,14636792,859144357,59.1,59.5,58.2,58.2,-1.7,7547
109/09/25,11568108,677454172,58.4,59.2,58.2,58.9,0.7,4695
