日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/01/28,126109713,15041934387,120.0,121.0,118.0,118.5,-4.5,67691
110/01/29,182193247,20945648631,119.0,120.0,111.5,111.5,-7.0,94768
110/02/01,126542433,14005129697,111.0,114.5,108.0,113.0,1.5,57812
110/02/02,84723356,9830393889,115.0,118.0,114.0,116.5,3.5,41228
110/02/03,61266257,7139280649,118.0,118.5,115.0,116.5,0.0,26771
110/02/04,64821924,7403951223,114.5,116.0,113.0,114.0,-2.5,32329
110/02/05,88545854,10144603345,115.0,116.5,113.0,113.5,-0.5,44497
110/02/17,91569404,10442945499,115.0,116.0,112.5,114.0,0.5,43802
110/02/18,47383973,5380177658,113.5,114.5,113.0,113.0,-1.0,24592
110/02/19,87882501,9701331173,112.0,112.5,109.5,110.0,-3.0,46144
110/02/22,60772150,6816444876,111.5,114.0,111.0,111.0,1.0,32269
110/02/23,51483656,5690394165,109.5,112.5,108.5,111.5,0.5,26413
110/02/24,59398315,6652961790,112.0,114.0,110.5,110.5,-1.0,29603
110/02/25,113086563,13028463836,115.0,116.5,114.0,116.5,6.0,53677
110/02/26,122126804,13787932415,114.5,115.0,112.0,112.0,-4.5,55063
110/03/02,54679187,6208416490,114.5,114.5,112.0,112.0,0.0,24377
110/03/03,90671041,10385729569,113.0,116.0,112.0,115.5,3.5,36128
110/03/04,79491784,9055229129,115.5,116.0,112.0,114.5,-1.0,30614
110/03/05,87263439,10007886347,113.5,116.0,112.5,115.0,0.5,34097
110/03/08,54725412,6277482760,116.0,116.5,113.0,113.5,-1.5,23284
110/03/09,44151477,5019110304,113.0,115.0,112.0,115.0,1.5,20125
110/03/10,49011206,5676662482,116.0,117.0,115.0,115.5,0.5,20545
110/03/11,76015788,8894298610,116.5,118.0,116.0,117.0,1.5,36312
110/03/12,97811913,11662163611,117.5,120.0,117.5,120.0,3.0,51423
110/03/15,70166127,8428413588,120.0,122.0,118.5,121.0,1.0,35682
110/03/16,93898518,11496180042,121.5,123.5,121.0,123.0,2.0,46078
110/03/17,145610279,18331370516,123.5,128.0,123.0,126.0,3.0,75496
110/03/18,139458505,18102452005,128.0,131.5,128.0,129.5,3.5,70643
110/03/19,168584321,21042857494,127.0,127.0,123.5,123.5,-6.0,88025
110/03/22,110246598,14033692679,124.0,130.0,124.0,130.0,6.5,58130
110/03/23,114215010,15097213858,133.0,134.5,130.0,130.5,0.5,60873
110/03/24,83454915,10735343710,130.0,132.0,126.5,128.0,-2.5,49048
110/03/25,68884133,8771645445,127.0,129.5,125.5,126.5,-1.5,35440
110/03/26,53269507,6765454880,127.5,128.0,126.0,126.5,0.0,26855
110/03/29,41716728,5343103863,128.0,129.0,127.5,128.5,2.0,22188
110/03/30,47600474,6154998092,129.5,130.0,128.5,129.5,1.0,25886
110/03/31,132523915,16524687255,125.0,126.5,123.0,124.0,-5.5,80792
110/04/01,97942681,11979889015,124.5,125.5,120.5,121.5,-2.5,58865
110/04/06,42038412,5173429747,123.5,124.0,122.0,122.5,1.0,23481
110/04/07,34046989,4203938017,124.0,124.5,122.5,123.5,1.0,19722
